fecha,departamento,municipio,dia,hora,barrio,zona,clase de sitio,arma empleada,móvil agresor,móvil victima,cantidad,tipo
2012-01-01,CESAR,VALLEDUPAR (CT),Domingo,20:00:00,CONJ PORTAL DEL ROSARIO,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-01,CESAR,VALLEDUPAR (CT),Domingo,09:00:00,PANAMA,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-01,CESAR,VALLEDUPAR (CT),Domingo,00:30:00,ALTAGRACIA,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-02,CESAR,VALLEDUPAR (CT),Lunes,19:00:00,URB. CLUB HOUSE,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-02,CESAR,VALLEDUPAR (CT),Lunes,02:00:00,-,URBANA,INSTALACIONES DEL EJERCITO,CONTUNDENTES,A PIE,-,1,HR
2012-01-03,CESAR,VALLEDUPAR (CT),Martes,02:00:00,VILLA TAXI,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,1,HR
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,07:00:00,SABANAS DEL VALLE,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-06,CESAR,VALLEDUPAR (CT),Viernes,08:00:00,LA NEVADA,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-06,CESAR,VALLEDUPAR (CT),Viernes,02:00:00,1º DE MAYO,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,1,HR
2012-01-07,CESAR,VALLEDUPAR (CT),Sábado,19:00:00,LAS MARIAS,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-08,CESAR,VALLEDUPAR (CT),Domingo,12:00:00,FUNDADORES,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-09,CESAR,VALLEDUPAR (CT),Lunes,16:00:00,ALFONSO LOPEZ,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-09,CESAR,VALLEDUPAR (CT),Lunes,15:00:00,EL LIMONAR,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-10,CESAR,VALLEDUPAR (CT),Martes,10:00:00,VILLA DEL ROSARIO NORTE,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-11,CESAR,VALLEDUPAR (CT),Miércoles,16:00:00,LA GRANJA,URBANA,APARTAMENTO,ARMA DE FUEGO,A PIE,A PIE,1,HR
2012-01-13,CESAR,VALLEDUPAR (CT),Viernes,14:00:00,LOS MUSICOS,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-15,CESAR,VALLEDUPAR (CT),Domingo,16:00:00,URB.FRANCISCO EL HOMBRE,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-16,CESAR,VALLEDUPAR (CT),Lunes,02:00:00,SIMON BOLIVAR,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-16,CESAR,VALLEDUPAR (CT),Lunes,06:00:00,ALAMOS I,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-20,CESAR,VALLEDUPAR (CT),Viernes,15:00:00,ALFONSO LOPEZ,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-20,CESAR,VALLEDUPAR (CT),Viernes,08:00:00,-,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-23,CESAR,VALLEDUPAR (CT),Lunes,12:30:00,MIRADOR DE LA SIERRA,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-24,CESAR,VALLEDUPAR (CT),Martes,18:00:00,ALFONSO LOPEZ,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-24,CESAR,VALLEDUPAR (CT),Martes,13:30:00,SAN JOAQUIN,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-25,CESAR,VALLEDUPAR (CT),Miércoles,10:00:00,SAN ANTONIO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-01-26,CESAR,VALLEDUPAR (CT),Jueves,14:30:00,ALAMOS III,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-01-28,CESAR,VALLEDUPAR (CT),Sábado,02:00:00,OBRERO,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-02-02,CESAR,VALLEDUPAR (CT),Jueves,16:00:00,DANGON,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-02-02,CESAR,VALLEDUPAR (CT),Jueves,09:00:00,GARUPAL I,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HR
2012-02-03,CESAR,VALLEDUPAR (CT),Viernes,13:35:00,VILLA LEONOR,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,1,HR
2012-02-04,CESAR,VALLEDUPAR (CT),Sábado,02:00:00,1º DE MAYO,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-02-05,CESAR,VALLEDUPAR (CT),Domingo,09:00:00,LOS CORTIJOS,URBANA,DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS,A PIE,-,1,HR
2012-02-05,CESAR,VALLEDUPAR (CT),Domingo,05:00:00,-,URBANA,DENTRO DE LA VIVIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,1,HR
2012-02-07,CESAR,VALLEDUPAR (CT),Martes,10:10:00,EL PARAMO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,-,A PIE,1,HR
