fecha,departamento,municipio,dia,hora,barrio,zona,clase de sitio,arma empleada,móvil agresor,móvil victima,cantidad,tipo
2012-01-01,CESAR,VALLEDUPAR (CT),Domingo,,,,,,MOTO,,1,LT
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-01-08,CESAR,VALLEDUPAR (CT),Domingo,,,,,,MOTO,,1,LT
2012-01-10,CESAR,VALLEDUPAR (CT),Martes,,,,,,VEHICULO,,1,LT
2012-01-12,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-01-12,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-01-13,CESAR,VALLEDUPAR (CT),Viernes,,,,,,MOTO,,1,LT
2012-01-16,CESAR,VALLEDUPAR (CT),Lunes,,,,,,MOTO,,1,LT
2012-01-16,CESAR,VALLEDUPAR (CT),Lunes,,,,,,VEHICULO,,1,LT
2012-01-16,CESAR,VALLEDUPAR (CT),Lunes,,,,,,VEHICULO,,1,LT
2012-01-24,CESAR,VALLEDUPAR (CT),Martes,,,,,,MOTO,,1,LT
2012-01-25,CESAR,VALLEDUPAR (CT),Miércoles,,,,,,MOTO,,1,LT
2012-01-27,CESAR,VALLEDUPAR (CT),Viernes,,,,,,MOTO,,1,LT
2012-02-02,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-02-02,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-02-02,CESAR,VALLEDUPAR (CT),Jueves,,,,,,VEHICULO,,1,LT
2012-02-06,CESAR,VALLEDUPAR (CT),Lunes,,,,,,VEHICULO,,1,LT
2012-02-11,CESAR,VALLEDUPAR (CT),Sábado,,,,,,VEHICULO,,3,LT
2012-02-22,CESAR,VALLEDUPAR (CT),Miércoles,,,,,,VEHICULO,,3,LT
2012-02-25,CESAR,VALLEDUPAR (CT),Sábado,,,,,,MOTO,,2,LT
2012-02-27,CESAR,VALLEDUPAR (CT),Lunes,,,,,,VEHICULO,,1,LT
2012-02-29,CESAR,VALLEDUPAR (CT),Miércoles,,,,,,MOTO,,3,LT
2012-03-01,CESAR,VALLEDUPAR (CT),Jueves,,,,,,VEHICULO,,1,LT
2012-03-04,CESAR,VALLEDUPAR (CT),Domingo,,,,,,MOTO,,1,LT
2012-03-06,CESAR,VALLEDUPAR (CT),Martes,,,,,,MOTO,,1,LT
2012-03-06,CESAR,VALLEDUPAR (CT),Martes,,,,,,MOTO,,1,LT
2012-03-08,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-03-08,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-03-08,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-03-09,CESAR,VALLEDUPAR (CT),Viernes,,,,,,BICICLETA,,1,LT
2012-03-09,CESAR,VALLEDUPAR (CT),Viernes,,,,,,BICICLETA,,1,LT
2012-03-15,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-03-15,CESAR,VALLEDUPAR (CT),Jueves,,,,,,MOTO,,1,LT
2012-03-17,CESAR,VALLEDUPAR (CT),Sábado,,,,,,MOTO,,1,LT
2012-03-18,CESAR,VALLEDUPAR (CT),Domingo,,,,,,MOTO,,1,LT
2012-03-18,CESAR,VALLEDUPAR (CT),Domingo,,,,,,MOTO,,1,LT
2012-03-18,CESAR,VALLEDUPAR (CT),Domingo,,,,,,VEHICULO,,1,LT
2012-03-18,CESAR,VALLEDUPAR (CT),Domingo,,,,,,VEHICULO,,2,LT
2012-03-19,CESAR,VALLEDUPAR (CT),Lunes,,,,,,MOTO,,2,LT
2012-03-26,CESAR,VALLEDUPAR (CT),Lunes,,,,,,MOTO,,2,LT
2012-03-30,CESAR,VALLEDUPAR (CT),Viernes,,,,,,MOTO,,1,LT
2012-03-31,CESAR,VALLEDUPAR (CT),Sábado,,,,,,MOTO,,1,LT
2012-04-03,CESAR,VALLEDUPAR (CT),Martes,,,,,,VEHICULO,,3,LT
2012-04-05,CESAR,VALLEDUPAR (CT),Jueves,,,,,,VEHICULO,,1,LT
2012-04-07,CESAR,VALLEDUPAR (CT),Sábado,,,,,,MOTO,,1,LT
2012-04-07,CESAR,VALLEDUPAR (CT),Sábado,,,,,,MOTO,,1,LT
2012-04-07,CESAR,VALLEDUPAR (CT),Sábado,,,,,,VEHICULO,,1,LT
2012-04-10,CESAR,VALLEDUPAR (CT),Martes,,,,,,MOTO,,1,LT
2012-04-10,CESAR,VALLEDUPAR (CT),Martes,,,,,,MOTO,,2,LT
2012-04-10,CESAR,VALLEDUPAR (CT),Martes,,,,,,MOTO,,1,LT
2012-04-11,CESAR,VALLEDUPAR (CT),Miércoles,,,,,,MOTO,,1,LT
2012-04-16,CESAR,VALLEDUPAR (CT),Lunes,,,,,,MOTO,,1,LT
2012-04-27,CESAR,VALLEDUPAR (CT),Viernes,,,,,,MOTO,,1,LT
2012-04-27,CESAR,VALLEDUPAR (CT),Viernes,,,,,,MOTO,,2,LT
2012-04-27,CESAR,VALLEDUPAR (CT),Viernes,,,,,,VEHICULO,,1,LT
2012-04-30,CESAR,VALLEDUPAR (CT),Lunes,,,,,,VEHICULO,,1,LT
2012-05-18,CESAR,VALLEDUPAR (CT),Viernes,,,,,,MOTO,,1,LT
2012-05-20,CESAR,VALLEDUPAR (CT),Domingo,,,,,,MOTO,,1,LT
2012-05-20,CESAR,VALLEDUPAR (CT),Domingo,,,,,,VEHICULO,,1,LT
