fecha,departamento,municipio,dia,hora,barrio,zona,clase de sitio,arma empleada,móvil agresor,móvil victima,cantidad,tipo
2012-01-04,CESAR,VALLEDUPAR (CT),Miércoles,19:50:00,NUEVO MILENIO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,15:15:00,CIUDAD TAYRONA I,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-01-08,CESAR,VALLEDUPAR (CT),Domingo,01:15:00,LOS CACIQUES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-01-10,CESAR,VALLEDUPAR (CT),Martes,14:55:00,CANDELARIA SUR,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,1,H
2012-01-10,CESAR,VALLEDUPAR (CT),Martes,15:00:00,LA NEVADA,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,1,H
2012-01-15,CESAR,VALLEDUPAR (CT),Domingo,19:07:00,BELLO HORIZONTE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-01-21,CESAR,VALLEDUPAR (CT),Sábado,14:40:00,LA NEVADA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-02-04,CESAR,VALLEDUPAR (CT),Sábado,08:50:00,12 DE OCTUBRE,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,1,H
2012-02-07,CESAR,VALLEDUPAR (CT),Martes,18:00:00,FUNDADORES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,1,H
2012-02-08,CESAR,VALLEDUPAR (CT),Miércoles,21:00:00,MAREIGUA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,1,H
2012-02-12,CESAR,VALLEDUPAR (CT),Domingo,07:10:00,PABLO SEXTO,URBANA,VIAS PUBLICAS,CORTANTES,A PIE,A PIE,1,H
2012-02-15,CESAR,VALLEDUPAR (CT),Miércoles,21:40:00,FUNDADORES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-02-24,CESAR,VALLEDUPAR (CT),Viernes,10:24:00,LA NEVADA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,1,H
2012-02-29,CESAR,VALLEDUPAR (CT),Miércoles,21:30:00,7 DE AGOSTO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-03-04,CESAR,VALLEDUPAR (CT),Domingo,10:00:00,SANTA ROSALIA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-03-08,CESAR,VALLEDUPAR (CT),Jueves,00:05:00,7 DE AGOSTO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-03-08,CESAR,VALLEDUPAR (CT),Jueves,00:05:00,7 DE AGOSTO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,1,H
2012-03-18,CESAR,VALLEDUPAR (CT),Domingo,13:46:00,DANGON,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,1,H
