fecha,departamento,municipio,dia,hora,barrio,zona,clase de sitio,arma empleada,móvil agresor,móvil victima,cantidad,tipo
2012-01-10,CESAR,VALLEDUPAR (CT),Martes,15:30:00,LA POPA,URBANA,VIAS PUBLICAS,MOTO,CONDUCTOR MOTOCICLETA,A PIE,1,HT
2012-01-16,CESAR,VALLEDUPAR (CT),Lunes,03:00:00,-,RURAL,CARRETERA,VEHICULO,VEHICULO,VEHICULO,1,HT
2012-01-16,CESAR,VALLEDUPAR (CT),Lunes,03:00:00,-,RURAL,CARRETERA,VEHICULO,VEHICULO,VEHICULO,1,HT
2012-01-20,CESAR,VALLEDUPAR (CT),Viernes,18:30:00,GLORIETA DEL TERMINAL,URBANA,VIAS PUBLICAS,VEHICULO,VEHICULO,BICICLETA,1,HT
2012-01-29,CESAR,VALLEDUPAR (CT),Domingo,09:45:00,SANTO DOMINGO,URBANA,VIAS PUBLICAS,VEHICULO,VEHICULO,A PIE,1,HT
2012-02-06,CESAR,VALLEDUPAR (CT),Lunes,00:10:00,BALNERIO HURTADO,URBANA,VIAS PUBLICAS,VEHICULO,VEHICULO,VEHICULO,1,HT
2012-02-11,CESAR,VALLEDUPAR (CT),Sábado,19:30:00,-,RURAL,CARRETERA,VEHICULO,VEHICULO,VEHICULO,1,HT
2012-02-14,CESAR,VALLEDUPAR (CT),Martes,13:50:00,-,RURAL,CARRETERA,VEHICULO,VEHICULO,VEHICULO,1,HT
2012-02-14,CESAR,VALLEDUPAR (CT),Martes,13:50:00,-,RURAL,CARRETERA,VEHICULO,VEHICULO,VEHICULO,1,HT
2012-02-19,CESAR,VALLEDUPAR (CT),Domingo,16:30:00,MAREIGUA,URBANA,VIAS PUBLICAS,BICICLETA,CONDUCTOR MOTOCICLETA,BICICLETA,1,HT
2012-03-04,CESAR,VALLEDUPAR (CT),Domingo,04:15:00,LAS DELICIAS,URBANA,VIAS PUBLICAS,MOTO,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,1,HT
2012-03-04,CESAR,VALLEDUPAR (CT),Domingo,08:30:00,LOS CORTIJOS,URBANA,VIAS PUBLICAS,MOTO,VEHICULO,CONDUCTOR MOTOCICLETA,1,HT
2012-03-05,CESAR,VALLEDUPAR (CT),Lunes,11:30:00,BALNERIO HURTADO,URBANA,VIAS PUBLICAS,MOTO,CONDUCTOR MOTOCICLETA,A PIE,1,HT
2012-03-06,CESAR,VALLEDUPAR (CT),Martes,20:00:00,CASIMIRO MASTRE,URBANA,VIAS PUBLICAS,MOTO,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,1,HT
2012-03-18,CESAR,VALLEDUPAR (CT),Domingo,13:20:00,-,URBANA,CARRETERA,MOTO,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,1,HT
2012-03-18,CESAR,VALLEDUPAR (CT),Domingo,20:30:00,DON CARMELO,URBANA,VIAS PUBLICAS,MOTO,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,1,HT
2012-04-28,CESAR,VALLEDUPAR (CT),Sábado,05:55:00,SANTO DOMINGO,URBANA,VIAS PUBLICAS,VEHICULO,VEHICULO,A PIE,1,HT
2012-04-30,CESAR,VALLEDUPAR (CT),Lunes,14:20:00,-,RURAL,CARRETERA,VEHICULO,VEHICULO,VEHICULO,1,HT
2012-05-10,CESAR,VALLEDUPAR (CT),Jueves,03:10:00,GARUPAL I,URBANA,VIAS PUBLICAS,VEHICULO,VEHICULO,A PIE,1,HT
2012-05-13,CESAR,VALLEDUPAR (CT),Domingo,01:40:00,-,URBANA,CARRETERA,MOTO,VEHICULO,CONDUCTOR MOTOCICLETA,1,HT
