fecha,departamento,municipio,dia,hora,barrio,zona,clase de sitio,arma empleada,móvil agresor,móvil victima,cantidad,tipo
2012-01-01,CESAR,VALLEDUPAR (CT),Domingo,21:20:00,LAS FLORES,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-02,CESAR,VALLEDUPAR (CT),Lunes,15:00:00,7 DE AGOSTO,URBANA,TALLERES,ARMA DE FUEGO,A PIE,A PIE,1,HC
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,02:00:00,GAITAN,URBANA,OFICINAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,04:20:00,CENTRO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,09:00:00,LA GRANJA,URBANA,EMPRESA,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,12:20:00,EL PRADO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,1,HC
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,12:20:00,LOS CAMPANOS,URBANA,LOCAL COMERCIAL,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-07,CESAR,VALLEDUPAR (CT),Sábado,00:00:00,CAÑAGUATE,URBANA,ALMACENES,SIN EMPLEO DE ARMAS,A PIE,NO REPORTADO,1,HC
2012-01-09,CESAR,VALLEDUPAR (CT),Lunes,02:00:00,CENTRO,URBANA,CLINICAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,NO REPORTADO,1,HC
2012-01-11,CESAR,VALLEDUPAR (CT),Miércoles,13:00:00,VILLA CORELCA,URBANA,ESTADIO,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-13,CESAR,VALLEDUPAR (CT),Viernes,01:30:00,VILLA CASTRO,URBANA,"COLEGIOS, ESCUELAS",SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-13,CESAR,VALLEDUPAR (CT),Viernes,02:00:00,CENTRO,URBANA,ALMACENES,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-13,CESAR,VALLEDUPAR (CT),Viernes,11:30:00,-,URBANA,LOCAL COMERCIAL,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
2012-01-14,CESAR,VALLEDUPAR (CT),Sábado,17:00:00,CENTRO COMERCIAL GUATAPURI,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HC
