fecha,departamento,municipio,dia,hora,barrio,zona,clase de sitio,arma empleada,móvil agresor,móvil victima,cantidad,tipo
2012-01-01,CESAR,VALLEDUPAR (CT),Domingo,03:00:00,BALNEARIO HURTADO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,CONDUCTOR VEHICULO,1,HA
2012-01-01,CESAR,VALLEDUPAR (CT),Domingo,01:00:00,SAN FERNANDO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-02-05,CESAR,VALLEDUPAR (CT),Domingo,01:30:00,CAÑAGUATE,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-02-05,CESAR,VALLEDUPAR (CT),Domingo,01:30:00,CAÑAGUATE,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-02-15,CESAR,VALLEDUPAR (CT),Miércoles,00:00:00,-,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,1,HA
2012-03-04,CESAR,VALLEDUPAR (CT),Domingo,11:20:00,CAÑAGUATE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,1,HA
2012-03-08,CESAR,VALLEDUPAR (CT),Jueves,06:00:00,SAN JOAQUIN,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-03-09,CESAR,VALLEDUPAR (CT),Viernes,15:20:00,PANAMA,URBANA,UNIVERSIDADES,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-03-30,CESAR,VALLEDUPAR (CT),Viernes,07:00:00,LOS CAMPANOS,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-04-03,CESAR,VALLEDUPAR (CT),Martes,11:30:00,LA PEDREGOZA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,1,HA
2012-04-05,CESAR,VALLEDUPAR (CT),Jueves,16:00:00,CENTRO,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,1,HA
2012-04-08,CESAR,VALLEDUPAR (CT),Domingo,10:30:00,GAITAN,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-04-09,CESAR,VALLEDUPAR (CT),Lunes,18:00:00,CENTRO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,1,HA
2012-04-16,CESAR,VALLEDUPAR (CT),Lunes,14:40:00,-,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,1,HA
2012-04-20,CESAR,VALLEDUPAR (CT),Viernes,04:00:00,-,RURAL,CARRETERA,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,1,HA
